OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1536,E02254DA-6C44-44E7-A747-250E1798655D,CME,CHISUM,33.33747861,-103.3787544,H24,,3772,116.1,12,,4,,569F2872-B88F-4F52-B61F-741A55E97790,0,108X,1,0,12,0,0,0,1,1,0,0
1537,63D8BF79-7018-40B9-8276-BABC7087CE1B,CEP,CAPITAN,33.48988583,-104.5956622,H24,,6562,278,10,,1,,D17392BC-34FC-48BD-B6D7-88EB34AA1496,,,1,0,10,0,0,0,1,0,0,0
1538,D9872DF2-A565-4877-9645-A5ECC5A74A85,SAF,SANTA FE,35.54054111,-105.9350642,H24,,6267.9,110.6,13,,3,,EC8D83E3-7144-4465-B181-77EEC99E6E32,2,,1,0,13,0,0,0,1,1,0,0
1539,3A6E9351-B878-4787-B2A0-1C3273E44D06,SAF,SANTA FE,35.54054111,-105.9350642,H24,,6267.9,110.6,13,,4,,EC8D83E3-7144-4465-B181-77EEC99E6E32,2,043X,1,0,13,0,0,0,1,1,0,0
1540,77067A9B-452F-4D20-B3A0-326CB07DD71E,ONM,SOCORRO,34.3389,-105.1795306,H24,,4910,116.8,13,,3,,90953676-04B3-430A-B477-4AD83B0FEF84,0,,1,1,13,0,0,0,1,1,0,0
1541,F3C855D5-2A04-4DA7-BC29-DB00B1DE42EC,ONM,SOCORRO,34.3389,-105.1795306,H24,,4910,116.8,13,,4,,90953676-04B3-430A-B477-4AD83B0FEF84,0,115X,1,1,13,0,0,0,1,1,0,0
1542,0561FF9A-EE0F-4C42-8D6D-FCE8D930C115,TAS,TAOS,36.60876889,-104.0936797,H24,,7860,117.6,13,,3,,D359BBAD-3468-4E1B-B0A4-07C93F648566,1,,1,1,13,0,0,0,1,0,0,0
1543,2D6F0194-0778-4CA7-985B-D65536927F8F,TAS,TAOS,36.60876889,-104.0936797,H24,,7860,117.6,13,,4,,D359BBAD-3468-4E1B-B0A4-07C93F648566,1,123X,1,1,13,0,0,0,1,0,0,0
1544,7B7A24CC-9408-4EE6-B73B-91D7A182A656,TCS,TRUTH OR CONSEQUENCES,33.28250222,-106.7194539,H24,,4905.2,112.7,13,,3,,6EAE4D47-A117-464D-9387-761F1CB3830C,0,,1,0,13,0,0,0,1,1,0,0
1545,D973157A-4A3A-4B8D-A602-A0163E20FA33,TCS,TRUTH OR CONSEQUENCES,33.28250222,-106.7194539,H24,,4905.2,112.7,13,,4,,6EAE4D47-A117-464D-9387-761F1CB3830C,0,074X,1,0,13,0,0,0,1,1,0,0
1546,BAE534FB-0630-48C1-90E5-A63F0E7644E4,TCC,TUCUMCARI,35.18220583,-102.4014192,H24,,4034.8,113.6,12,,3,,15C325E0-37D4-4C96-8698-3141AA5739B8,0,,1,0,12,0,0,0,1,1,0,0
