OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
13999,2FCB988D-C7B4-4A1E-B738-E0330B44E0A6,96C97584-ACE2-450B-A0EB-6FE2C63390C5,09/27,4649,75,FT,ASPH,2,LIM,0,0,1,0,0,0,3.41712711815489e-06,0.0335881712589772
14000,C1DEB9D2-2C51-4530-B1A0-84110DC209FD,7C97E8BF-A64A-4C85-AF72-BB13855DB5C1,H1,45,32,FT,ASPH,,,0,0,0,0,0,0,1.41194504976738e-08,0.000475655999935043
14001,424083DA-BB61-4CD7-8B57-8FAA8B4A7975,BB712BD3-90E3-48A2-B594-F07A7D1F52C6,H1,25,25,FT,GRASS,,,0,0,0,0,0,0,6.26187102170661e-09,0.000319748000038089
14002,677CD724-93E8-4BA9-B6D5-5B4F5657100F,9380B9AF-AD7E-4DC7-B07E-9D8BA2B5FED1,09/27,1300,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14003,A28C59E3-2010-45E1-B7D6-4532DB32E02E,471391A2-AB42-41C0-A2A9-3B7B00616C91,18/36,1500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14004,905C70F0-6592-4464-BCEC-93962BE8C25B,EC1C88E3-279A-410F-9346-169C0E22A2DF,09/27,2000,300,FT,ASPH,2,LIL,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14005,531E1057-6A9D-4379-ABEC-210D4A15778C,EC1C88E3-279A-410F-9346-169C0E22A2DF,10/28,2000,300,FT,GRASS,2,LIL,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14006,71396B43-4164-4662-8544-E34F11D9FC43,F361FE2D-327F-4FF4-888D-005762900715,01/19,2100,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14007,5FD764C7-4B49-4F44-A9D0-42AE300BB638,94DA0C4A-FF68-4892-B2A7-1BBE66A0D0BE,10/28,4208,75,FT,ASPH,2,LIM,0,0,1,0,0,0,3.1496297197009e-06,0.0310147202269681
14008,93D4B2E4-BF02-4B4F-9EDA-8A757D4984F3,9DBF3E7D-C358-4536-9D3D-0670B53CAD33,H1,25,25,FT,GRASS,,,0,0,0,0,0,0,6.25641405349597e-09,0.000319596000053934
14009,5F0036A7-5D11-4D11-AAF5-475067642485,090F3901-EF89-40BE-AAD6-F52898CDEECB,H1,60,60,FT,ASPH,0,OTHER,0,0,0,0,0,0,3.47270088241203e-08,0.000751082999957668
14010,4EEE031B-CCEB-47DC-8409-037743ABEFA0,4CBA446A-FF5B-464C-B406-B352A4E7D263,H1,160,160,FT,GRASS,,,0,0,0,0,0,0,2.55536633630982e-07,0.00204210000004879
14011,EDEBED19-F81C-4D0D-8D84-39503007E4DD,2041F61C-F036-46A5-ABF3-86652804ADE8,H1,65,65,FT,ASPH,3,LIM,0,0,0,0,0,0,4.2412466427777e-08,0.000832289999948443
14012,BAA2AF95-FD19-4EEE-840E-B2A87D98B518,189DD0E5-D539-4E91-AC47-999560FF1243,04/22,1900,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
